OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
21440,2020,CA,CDF,NEU,NELSON,13212,2020/06/18 00:00:00+00,2020/06/23 00:00:00+00,11,,110,109.6025,1,1,,4179.743142,-733134.6985
21441,2020,CA,CDF,NEU,AMORUSO,11799,2020/06/01 00:00:00+00,2020/06/04 00:00:00+00,2,,670,685.58502,1,1,,12399.37539,-4578171.899
21442,2020,CA,CDF,NEU,ATHENS,18493,2020/08/10 00:00:00+00,2020/03/01 00:00:00+00,14,,26,27.30048,1,1,,2119.19412,-182387.6404
21443,2020,CA,CDF,NEU,FLEMING,7619,2020/03/31 00:00:00+00,2020/04/01 00:00:00+00,9,,13,12.93155,1,1,,2029.524881,-86679.4234
21444,2020,CA,CDF,NEU,MELANESE,8471,2020/04/14 00:00:00+00,2020/04/19 00:00:00+00,18,,10.3,10.31596,1,1,,1342.742903,-70179.12235
21445,2020,CA,CDF,NEU,PFE,14858,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,14,,36,36.701931,1,1,,3012.198354,-244431.5169
21446,2020,CA,DOD,,VALLEY,15865,2020/07/15 00:00:00+00,2020/07/16 00:00:00+00,14,Beale Air Force Base,377,376.91049,1,1,,9803.350364,-2538316.863
21447,2020,CA,CDF,NEU,WALDO,15275,2020/07/09 00:00:00+00,2020/07/12 00:00:00+00,9,,10.7,10.10221,1,1,,1425.986342,-68043.04137
21448,2020,CA,CDF,NEU,WILLOW,6064,2020/03/10 00:00:00+00,2020/03/11 00:00:00+00,5,,34,33.973888,1,1,,2477.151815,-230549.7851
21449,2020,CA,CDF,NEU,WILLOWS,21423,2020/09/09 00:00:00+00,2020/10/13 00:00:00+00,7,,1311,1309.09,3,1,,15221.41054,-8877495.807
