State,Year,Quarter,HPI
AK,1975,1,62.32
AK,1975,2,64.53
AK,1975,3,67.66
AK,1975,4,68.48
AK,1976,1,71.57
AK,1976,2,71.85
AK,1976,3,74.48
AK,1976,4,74.24
AK,1977,1,78.83
AK,1977,2,77.47
AK,1977,3,79.1
AK,1977,4,79.32
AK,1978,1,79.32
AK,1978,2,86.35
AK,1978,3,88.23
AK,1978,4,86.85
AK,1979,1,89.38
AK,1979,2,99.86
AK,1979,3,96.74
AK,1979,4,97.33
AK,1980,1,100
AK,1980,2,83.1
AK,1980,3,73.73
AK,1980,4,95.04
AK,1981,1,89.53
AK,1981,2,108.81
AK,1981,3,116.63
AK,1981,4,129.42
AK,1982,1,136.82
AK,1982,2,131.74
AK,1982,3,141.16
AK,1982,4,137.24
AK,1983,1,139.18
AK,1983,2,140.5
AK,1983,3,146.8
AK,1983,4,146.38
AK,1984,1,150.34
AK,1984,2,148.06
AK,1984,3,154.78
AK,1984,4,152.92
AK,1985,1,144.99
AK,1985,2,145.57
AK,1985,3,146.08
AK,1985,4,142.11
AK,1986,1,142.96
AK,1986,2,145.35
AK,1986,3,140.81
AK,1986,4,137.46
AK,1987,1,134.01
AK,1987,2,124.55
AK,1987,3,116.3
AK,1987,4,105.27
AK,1988,1,121.09
AK,1988,2,115.51
AK,1988,3,126.79
AK,1988,4,132.4
AK,1989,1,128.94
AK,1989,2,104.57
AK,1989,3,104.33
AK,1989,4,102.32
AK,1990,1,98.97
AK,1990,2,112.78
AK,1990,3,122.26
AK,1990,4,120.26
AK,1991,1,124.56
AK,1991,2,127.6
AK,1991,3,131.54
AK,1991,4,131.66
AK,1992,1,133.49
AK,1992,2,134.71
AK,1992,3,135.41
AK,1992,4,135.93
AK,1993,1,135.77
AK,1993,2,136.3
AK,1993,3,138.78
AK,1993,4,139.54
AK,1994,1,140.7
AK,1994,2,143.88
AK,1994,3,145.85
AK,1994,4,144.85
AK,1995,1,147.11
AK,1995,2,149.62
AK,1995,3,151.14
AK,1995,4,151.62
AK,1996,1,154.03
AK,1996,2,156.51
AK,1996,3,157.01
AK,1996,4,159.03
AK,1997,1,158.89
AK,1997,2,160.16
AK,1997,3,161.41
AK,1997,4,163.55
AK,1998,1,163.28
AK,1998,2,166.03
AK,1998,3,167.55
AK,1998,4,167.3
AK,1999,1,169.24
AK,1999,2,172.9
AK,1999,3,172.53
AK,1999,4,172.63
AK,2000,1,172.42
AK,2000,2,174.58
AK,2000,3,175.72
AK,2000,4,176.17
AK,2001,1,179.31
AK,2001,2,183.07
AK,2001,3,185.68
AK,2001,4,185.97
AK,2002,1,188.89
AK,2002,2,194.32
AK,2002,3,195.61
AK,2002,4,195.14
AK,2003,1,196.43
AK,2003,2,199.56
AK,2003,3,204.09
AK,2003,4,212.11
AK,2004,1,213.39
AK,2004,2,218.53
AK,2004,3,229.83
AK,2004,4,232.19
AK,2005,1,238.06
AK,2005,2,246.93
AK,2005,3,255.85
AK,2005,4,263.56
AK,2006,1,267.86
AK,2006,2,274.36
AK,2006,3,279.6
AK,2006,4,281.16
AK,2007,1,285.12
AK,2007,2,287.97
AK,2007,3,286.9
AK,2007,4,286.32
AK,2008,1,286.19
AK,2008,2,286.63
AK,2008,3,282.94
AK,2008,4,285.68
AK,2009,1,286.28
AK,2009,2,283.46
AK,2009,3,282.24
AK,2009,4,283.82
AK,2010,1,279.47
AK,2010,2,281.93
AK,2010,3,283.61
AK,2010,4,284.3
AK,2011,1,284.18
AK,2011,2,283.52
AK,2011,3,284.42
AK,2011,4,286.41
AK,2012,1,284.39
AK,2012,2,283.71
AK,2012,3,286.71
AK,2012,4,288.9
AK,2013,1,292.32
AK,2013,2,292.86
AK,2013,3,296.03
AK,2013,4,297.25
AK,2014,1,294.52
AK,2014,2,300.52
AK,2014,3,304.32
AK,2014,4,303.46
AK,2015,1,306.29
AK,2015,2,309.21
AK,2015,3,312.99
AK,2015,4,314.14
AK,2016,1,314.56
AK,2016,2,316.87
AK,2016,3,318.39
AK,2016,4,316.78
AK,2017,1,318.51
AK,2017,2,319.06
AK,2017,3,322.66
AK,2017,4,323.27
AK,2018,1,321.68
AK,2018,2,324.81
AK,2018,3,324.66
AK,2018,4,324.6
AK,2019,1,327.52
AK,2019,2,331.69
AK,2019,3,334
AK,2019,4,334.12
AK,2020,1,337.48
AK,2020,2,340.51
AK,2020,3,344.81
AK,2020,4,348.46
AK,2021,1,351.34
AK,2021,2,364.22
AK,2021,3,381.51
AK,2021,4,386.83
AL,1975,1,75.09
AL,1975,2,72.29
AL,1975,3,74.6
AL,1975,4,71.76
AL,1976,1,77.17
AL,1976,2,74.26
AL,1976,3,77.35
AL,1976,4,79.73
AL,1977,1,81.28
AL,1977,2,83.59
AL,1977,3,88.25
AL,1977,4,89.28
AL,1978,1,88.6
AL,1978,2,88.61
AL,1978,3,96.77
AL,1978,4,96.37
AL,1979,1,99.5
AL,1979,2,100.24
AL,1979,3,101.68
AL,1979,4,107.96
AL,1980,1,100
AL,1980,2,103.11
AL,1980,3,110
AL,1980,4,108.98
AL,1981,1,105.49
AL,1981,2,109.14
AL,1981,3,112.44
AL,1981,4,106.77
AL,1982,1,109.28
AL,1982,2,107.15
AL,1982,3,107.75
AL,1982,4,115.61
AL,1983,1,114.71
AL,1983,2,114.55
AL,1983,3,116.92
AL,1983,4,113.76
AL,1984,1,123.64
AL,1984,2,120.28
AL,1984,3,124.84
AL,1984,4,121.38
AL,1985,1,121.53
AL,1985,2,124.72
AL,1985,3,127.5
AL,1985,4,128.42
AL,1986,1,129.63
AL,1986,2,131.99
AL,1986,3,133.54
AL,1986,4,136.07
AL,1987,1,138.19
AL,1987,2,139.24
AL,1987,3,139.83
AL,1987,4,138.47
AL,1988,1,142.15
AL,1988,2,143.18
AL,1988,3,142.83
AL,1988,4,141.47
AL,1989,1,141.6
AL,1989,2,143.51
