abbreviation,population
AL,1117489
AL,4817528
AL,1130966
AL,4785570
AL,1125763
AL,4801627
AL,4757938
AL,1134192
AL,1111481
AL,4833722
AL,4672840
AL,1132296
AL,4718206
AL,1134927
AL,4569805
AL,1117229
AL,4628981
AL,1126798
AL,4530729
AL,1113662
AL,4503491
AL,1113083
AL,4467634
AL,1120409
AL,4480089
AL,1116590
AL,1121287
AL,4430141
AL,4452173
AL,1122273
AL,4404701
AL,1118252
AL,1122893
AL,4367935
AL,4331103
AL,4296800
AL,1110553
AL,1112092
AL,4260229
AL,4214202
AL,1085606
AL,1097180
AL,1072873
AL,4154014
AL,4099156
AL,1060794
AL,1050041
AL,4050055
AK,553290
AK,177502
AK,588736
AK,182180
AK,184878
AK,603308
AK,187439
AK,570193
AK,599434
AK,187190
AK,604412
AK,184990
AK,608569
AK,185360
AK,188280
AK,192636
AK,619933
AK,612968
AK,191422
AK,624779
AK,627963
AK,190615
AK,633714
AK,188771
AK,642337
AK,188482
AK,648414
AK,186843
AK,659286
AK,186335
AK,666946
AK,185304
AK,675302
AK,185580
AK,680300
AK,184344
AK,687455
AK,183124
AK,188132
AK,735132
AK,698895
AK,186351
AK,187902
AK,713868
AK,188329
AK,723375
AK,188162
AK,730307
AZ,1617149
AZ,6551149
AZ,1616353
AZ,6468796
AZ,1628563
AZ,6408790
AZ,1616814
AZ,6626624
AZ,6343154
AZ,1627343
AZ,6167681
AZ,1607895
AZ,6280362
AZ,1628651
AZ,5839077
AZ,1529168
AZ,6029141
AZ,1574867
AZ,5652404
AZ,1484454
AZ,5510364
AZ,1453671
AZ,5273477
AZ,1399015
AZ,5396255
AZ,1427938
AZ,1332396
AZ,5023823
AZ,5160586
AZ,1373414
AZ,4883342
AZ,1285794
AZ,4736990
AZ,1237159
AZ,1215285
AZ,4586940
AZ,4432499
AZ,1173391
AZ,4065440
AZ,1094233
AZ,1119857
AZ,4245089
AZ,1055572
AZ,1028285
AZ,3788576
AZ,3915740
AZ,1006040
AZ,3684097
AR,620933
AR,2356586
AR,2383144
AR,626212
AR,638269
AR,2415984
AR,653842
AR,2494019
AR,2456303
AR,643474
AR,667671
AR,2535399
AR,677912
AR,2572109
AR,683637
AR,2601091
AR,680203
AR,2626289
AR,2678588
AR,680378
AR,681940
AR,2651860
AR,2705927
AR,678798
AR,2691571
AR,679606
AR,2749686
AR,683166
AR,2724816
AR,679579
AR,2821761
AR,697842
AR,2781097
AR,689787
AR,2874554
AR,705725
AR,2848650
AR,702737
AR,2896843
AR,707886
AR,709866
AR,2959373
AR,710576
AR,2938506
AR,711947
AR,2922280
AR,710471
AR,2949828
CA,9209007
CA,37999878
CA,9252336
CA,37668681
CA,9284094
CA,37333601
CA,9174877
CA,38332521
CA,36961229
CA,9294501
CA,36250311
CA,9335620
CA,36604337
CA,9321621
CA,35827943
CA,9405565
CA,36021202
CA,9370884
CA,35253159
CA,9404594
CA,35574576
CA,9418497
CA,34479458
CA,9325466
CA,34871843
CA,9365142
CA,9207878
CA,33499204
CA,33987977
CA,9267089
CA,9163238
CA,32987675
CA,9135359
CA,32486010
CA,9079519
CA,32018834
CA,31696582
CA,8920578
CA,31274928
CA,8624810
CA,8790058
CA,31484435
CA,30470736
CA,8245605
CA,8439647
CA,30974659
CA,7980501
CA,29959515
CO,3307618
CO,881640
CO,3495939
CO,925577
CO,896537
CO,3387119
CO,3724168
CO,966412
CO,947806
CO,3613734
CO,984310
CO,3826653
CO,3919972
CO,1003946
CO,1030557
CO,4018293
CO,4116639
CO,1060066
CO,4326921
CO,1106676
CO,4226018
CO,1083938
CO,4490406
CO,1138273
CO,4425687
CO,1126647
CO,4575013
CO,1146369
CO,4528732
CO,1144597
CO,4720423
CO,1171832
CO,4631888
CO,1156399
CO,4889730
CO,1203289
CO,4803868
CO,1189434
CO,4972195
CO,1217213
CO,1237932
CO,5268367
CO,1226619
CO,5048196
CO,1230178
CO,5118400
CO,1232864
CO,5189458
CT,794959
CT,3591765
CT,805109
CT,3588948
CT,814187
CT,3579210
CT,785566
CT,3596080
CT,3561807
CT,820839
CT,3527270
CT,833484
CT,3545579
CT,826626
CT,3506956
CT,844034
CT,3517460
CT,839372
CT,3484336
CT,851115
CT,3496094
CT,848979
CT,3432835
CT,845850
CT,3458749
CT,848877
CT,3386401
CT,834654
CT,3411777
CT,842242
CT,824600
CT,3365352
CT,3349348
CT,814373
CT,811855
CT,3336685
CT,3324144
CT,808623
CT,3309175
CT,790749
CT,801231
CT,3316121
CT,766304
CT,3302895
CT,777264
CT,3300712
